ID_eta;ID_plat
3;7
4;46
1;21
6;17
5;41
1;45
2;20
10;16
1;29
1;9
3;21
4;38
3;33
10;9
5;31
5;30
9;30
7;35
5;14
4;17
2;14
9;15
9;12
10;17
4;41
6;21
6;36
10;11
6;30
6;26
7;26
3;14
4;2
8;42
5;19
1;41
4;22
4;7
7;14
2;5
9;35
3;38
5;26
1;22
6;13
9;7
6;42
1;13
4;25
5;34
6;4
3;19
10;30
1;31
6;19
7;43
5;38
5;18
10;45
6;33
6;41
1;24
2;21
2;36
6;39
10;35
5;4
4;9
9;16
7;44
10;32
10;43
2;23
8;39
4;20
8;14
8;43
6;38
2;8
3;17
4;12
8;2
7;12
6;45
6;20
5;33
8;32
8;30
3;4
10;36
3;22
1;12
10;8
9;9
7;38
9;29
5;22
10;46
8;46
2;31
1;36
9;27
8;27
4;5
4;36
5;12
6;31
10;3
4;37
1;7
3;29
6;24
7;8
10;29
9;23
7;17
9;18
9;44
8;4
6;18
3;28
5;23
5;44
3;37
6;37
2;27
1;15
7;18
4;4
3;41
7;3
1;2
9;26
3;34
8;23
7;22
8;13
1;40
8;25
5;15
8;19
7;33
1;16
8;21
6;5
7;7
6;46
9;41
7;11
10;20
2;10
6;29
8;6
2;11
4;31
9;42
8;11
8;38
2;1
2;7
7;10
1;1
3;24
1;20
3;12
3;46
1;39
4;43
7;6
8;29
4;32
3;43
8;37
2;30
