Id_plat_boisson;Nom_plat_boisson;Id_type_plat;Prix
1;Canard laqué;1;22
2;Nouilles sautées;1;38
3;Dim sum;1;27
4;Moussaka;2;29
5;Souvlaki;2;50
6;Gyros;1;22
7;Pâtes;1;17
8;Pizza;1;41
9;Antipasti;1;35
10;Tiramisu;3;38
11;Sushi;1;28
12;Pates;1;10
13;Sashimi;1;19
14;Ramen;2;22
15;Poulet Tempura;1;10
16;Poulet Curry;1;15
17;Poulet Tandoori;1;11
18;Naan;2;40
19;Coq au vin;1;18
20;Boeuf bourguignon;1;26
21;Escargots;2;12
22;Tacos;2;20
23;Enchiladas;2;16
24;Guacamole;2;18
25;Margarita;4;20
26;Viandes grillées;1;21
27;Martini;4;5
28;Mojito;4;8
29;Whisky sour;4;5
30;Caipirinha;4;10
31;Piña colada;4;13
32;Tequila sunrise;4;5
33;Cosmopolitan;4;14
34;Old Fashioned;4;15
35;Manhattan;4;6
36;Daiquiri;4;5
37;Blue Lagoon;4;5
38;Long Island Iced Tea;4;9
39;Sazerac;4;11
40;Paloma;4;12
41;Mint Julep;4;12
42;White Russian;4;14
43;Flan;3;4
44;Monaco;4;8
45;Whysky sec;4;10
46;Rhum vodka;4;12
