ID_plats;ID_Aliments
39;79
1;95
10;36
10;4
29;47
16;131
30;81
10;109
10;96
11;102
35;63
41;51
23;95
26;63
5;72
22;25
11;84
7;46
7;40
25;117
10;13
37;39
2;102
27;111
5;73
15;44
1;110
23;2
42;98
35;104
12;70
38;96
25;14
4;66
39;83
38;122
17;37
28;77
23;96
16;123
20;133
21;125
41;22
34;77
35;32
19;47
1;109
14;116
15;11
40;6
24;111
8;36
32;38
37;62
9;69
29;122
41;121
4;110
10;76
40;46
16;64
3;69
33;110
30;10
33;77
25;118
26;70
20;83
8;106
34;93
1;126
23;38
3;78
19;44
6;112
43;77
6;37
46;124
44;109
37;5
45;98
36;99
34;13
30;53
24;63
29;2
44;59
33;69
36;1
44;123
18;118
23;35
1;7
9;21
18;115
39;20
37;82
43;20
42;103
1;2
31;44
15;80
32;5
30;114
20;85
21;24
21;3
20;89
29;126
7;121
16;65
2;69
24;65
44;3
27;7
38;24
38;62
16;121
40;10
31;127
36;92
7;12
8;40
23;79
46;53
3;133
18;34
4;32
42;84
44;85
36;11
10;131
38;56
12;117
31;33
31;97
15;21
13;22
34;6
24;109
38;121
26;49
12;108
4;38
2;27
16;109
44;16
35;62
45;117
20;68
25;28
14;37
28;127
5;125
13;55
8;89
6;93
36;42
36;61
1;83
6;119
32;24
43;95
3;43
15;130
5;82
16;52
13;69
35;132
42;55
33;133
22;12
21;132
9;81
12;80
30;123
28;57
6;25
21;97
26;83
27;81
20;45
22;125
23;52
29;86
20;116
6;66
42;93
5;50
3;45
21;120
18;54
13;31
8;68
43;87
25;12
22;73
42;63
31;122
30;69
33;107
31;99
9;4
1;56
46;27
37;121
11;95
45;92
5;62
39;109
33;33
8;42
23;41
7;8
6;88
45;120
30;48
30;85
28;37
43;45
33;72
25;51
37;93
33;15
21;72
27;83
29;92
4;86
24;51
14;6
27;79
35;91
35;108
25;24
12;127
25;80
19;56
41;83
36;82
11;45
12;76
12;75
1;92
13;33
25;113
43;102
44;134
15;132
40;18
46;64
12;8
37;55
32;44
40;98
29;95
31;128
42;104
32;132
31;115
45;32
17;70
26;77
19;81
32;18
6;33
20;19
8;41
17;63
29;4
26;75
8;112
33;86
23;89
24;121
1;39
37;127
36;32
41;103
19;51
42;45
15;87
14;24
19;5
20;105
11;59
14;56
30;23
17;129
35;86
33;63
26;59
44;90
22;3
45;16
36;40
44;99
3;42
34;30
14;97
4;95
25;31
43;80
18;46
38;88
4;60
14;12
39;49
19;64
41;58
13;42
27;50
15;56
23;6
33;98
40;49
26;2
21;12
35;98
36;134
28;73
34;72
29;19
43;81
34;57
45;26
44;102
38;100
11;67
11;114
35;75
19;10
19;34
39;87
25;48
8;63
29;120
29;129
8;45
31;23
27;102
12;41
41;104
26;76
10;121
13;44
45;69
44;89
37;49
13;96
29;68
46;32
28;115
10;34
45;51
25;93
27;62
6;95
16;126
35;14
18;7
21;44
4;17
14;1
5;61
24;113
37;98
12;40
21;126
26;45
13;126
20;50
22;6
9;63
29;69
40;43
41;25
4;35
5;66
36;43
12;27
25;95
7;78
46;110
29;14
31;26
16;56
4;124
42;56
18;38
36;60
9;58
17;20
18;79
27;56
12;82
39;11
40;67
20;3
28;129
39;112
13;81
2;80
43;10
9;26
28;34
18;98
10;81
21;106
16;4
27;31
6;83
13;94
45;132
38;64
2;47
32;68
25;63
32;26
22;88
41;86
4;16
34;62
40;129
6;79
12;54
18;109
15;107
27;133
5;32
15;52
46;14
7;18
1;75
45;134
21;39
40;94
6;97
7;29
23;56
4;48
9;28
33;71
45;115
32;109
21;9
1;80
5;29
28;55
37;24
16;30
12;57
28;87
25;111
19;54
7;82
32;4
17;65
15;43
2;90
4;74
23;9
41;74
9;94
46;132
16;74
15;125
35;111
11;28
12;22
22;105
16;35
11;122
43;84
7;114
45;61
30;57
7;81
5;107
24;38
2;18
20;115
33;66
43;134
32;100
36;12
32;113
30;74
43;83
13;124
22;124
43;40
20;5
29;17
4;104
35;45
7;129
40;83
20;21
28;27
34;11
29;134
44;17
25;22
21;73
23;25
43;132
40;62
28;26
6;118
45;54
31;2
26;134
9;131
15;28
28;42
22;33
16;117
17;61
6;24
38;1
46;2
10;60
31;21
37;129
6;22
41;129
1;44
45;99
32;95
11;55
37;18
6;65
31;63
36;96
39;100
31;68
17;114
35;123
24;92
29;76
5;110
43;78
22;77
23;20
10;72
9;125
24;107
7;45
8;25
22;54
34;95
2;8
3;36
35;25
45;11
46;29
34;89
3;104
40;105
31;79
17;53
34;29
38;82
27;6
4;123
5;95
25;128
30;61
37;1
43;16
11;63
10;31
13;63
18;128
11;75
2;17
17;13
43;39
31;74
41;77
19;95
2;58
28;40
21;92
16;67
39;85
15;58
33;25
29;54
18;87
10;41
15;8
15;134
42;87
4;50
45;10
9;12
33;54
35;101
44;26
41;78
43;22
44;53
16;91
29;70
5;113
21;1
3;76
7;68
1;29
24;31
41;124
27;95
29;16
29;83
21;61
9;46
14;59
19;127
41;128
44;61
36;41
17;98
11;132
8;32
18;102
35;43
29;72
18;53
35;122
8;128
19;52
22;79
1;132
36;119
11;129
1;127
37;56
37;8
46;90
26;30
22;29
3;18
35;18
16;112
30;119
20;100
2;85
8;113
30;3
32;49
19;119
13;92
33;132
45;38
5;84
5;124
30;1
16;127
42;25
32;89
32;104
23;29
18;39
4;108
36;28
46;96
46;36
29;65
44;64
41;48
14;88
45;108
6;127
2;37
3;107
13;7
16;94
11;51
17;57
14;99
24;124
35;37
41;100
5;76
10;35
12;48
10;51
21;36
42;111
32;81
17;25
21;128
14;8
19;22
43;91
33;42
4;76
45;66
30;72
11;80
23;107
20;52
23;15
15;46
5;94
